,Question,Answer,Answer Chunk Index,Chunk_Page_Span,TOP_1,TOP_2,TOP_3,TOP_4,TOP_5
433,Can the Court or the Supreme Court issue an injunction or interim order for cases pending in other courts?,"No, the Court or the Supreme Court cannot issue an injunction or interim order for cases pending in other courts.",223,"(116, 117)","(116,)","(116, 101)","(116, 101, 121)","(116, 101, 121, 112)","(116, 101, 121, 112, 107)"
434,Who has the authority to create rules for the purposes of this Chapter?,The Court has the authority to create rules for carrying out the purposes of this Chapter.,225,"(117, 118)","(116,)","(116, 5)","(116, 5, 119)","(116, 5, 119, 117)","(116, 5, 119, 117, 101)"
435,What can the rules made by the Court include regarding payments?,"The rules can include provisions for the scale of payment of honoraria to jurisconsults, experts, and witnesses summoned by the Court to cover their expenses incurred in attending the proceedings.",225,"(117, 118)","(116,)","(116, 117)","(116, 117, 162)","(116, 117, 162, 165)","(116, 117, 162, 165, 112)"
436,What happens if the members of a Bench are equally divided in their opinion on a case?,The rules may provide for the decision of cases in which the members constituting a Bench are equally divided in their opinion.,225,"(117, 118)","(117,)","(117, 115)","(117, 115, 104)","(117, 115, 104, 120)","(117, 115, 104, 120, 111)"
437,Which courts have the authority to punish for contempt of court?,The Supreme Court and a High Court have the authority to punish for contempt of court.,226,"(118, 118)","(117,)","(117, 113)","(117, 113, 114)","(117, 113, 114, 112)","(117, 113, 114, 112, 161)"
438,What actions can be considered as contempt of court?,"Actions that can be considered as contempt of court include abusing, interfering with, or obstructing the process of the Court, disobeying any order of the Court, scandalizing the Court or a Judge, doing anything that tends to bring the Court or a Judge into hatred, ridicule, or contempt, prejudicing the determination of a matter pending before the Court, or any other action that constitutes contempt of the Court by law.",226,"(118, 118)","(10,)","(10, 117)","(10, 117, 105)","(10, 117, 105, 106)","(10, 117, 105, 106, 148)"
439,Where can one find the details about the pay and service conditions of Supreme Court and High Court judges?,The details about the pay and service conditions of Supreme Court and High Court judges can be found in the Fifth Schedule.,227,"(118, 119)","(119,)","(119, 118)","(119, 118, 155)","(119, 118, 155, 44)","(119, 118, 155, 44, 165)"
440,Are the terms and conditions of service for judges of the Supreme Court and High Court the same?,"Yes, the terms and conditions of service for judges of both the Supreme Court and High Court are provided in the Fifth Schedule.",227,"(118, 119)","(117,)","(117, 118)","(117, 118, 121)","(117, 118, 121, 165)","(117, 118, 121, 165, 119)"
441,How can a Judge of the Supreme Court or a High Court resign from their position?,A Judge of the Supreme Court or a High Court can resign by writing under their hand addressed to the President.,228,"(119, 119)","(118,)","(118, 110)","(118, 110, 97)","(118, 110, 97, 103)","(118, 110, 97, 103, 120)"
442,What happens if a High Court Judge does not accept an appointment to the Supreme Court?,"If a High Court Judge does not accept an appointment to the Supreme Court, they are deemed to have retired and are entitled to receive a pension based on the length of their service as a Judge and any total service in the service of Pakistan.",228,"(119, 119)","(118,)","(118, 97)","(118, 97, 98)","(118, 97, 98, 110)","(118, 97, 98, 110, 103)"
443,Can a Judge of the Supreme Court or High Court take another job that increases their pay?,"No, a Judge of the Supreme Court or High Court cannot hold any other office of profit in the service of Pakistan if their remuneration is thereby increased.",229,"(119, 120)","(118,)","(118, 155)","(118, 155, 110)","(118, 155, 110, 107)","(118, 155, 110, 107, 97)"
444,Is a former Judge of the Supreme Court allowed to work in any court in Pakistan?,"No, a person who has held office as a permanent Judge of the Supreme Court shall not plead or act in any court or before any authority in Pakistan.",229,"(119, 120)","(118,)","(118, 110)","(118, 110, 93)","(118, 110, 93, 98)","(118, 110, 93, 98, 107)"
445,Can a former Judge of a High Court work in any court within its jurisdiction?,"No, a person who has held office as a permanent Judge of a High Court shall not plead or act in any court or before any authority within its jurisdiction.",229,"(119, 120)","(102,)","(102, 118)","(102, 118, 107)","(102, 118, 107, 110)","(102, 118, 107, 110, 103)"
446,Who needs to approve the rules for appointing officers and servants of the Supreme Court?,The President needs to approve the rules for appointing officers and servants of the Supreme Court.,230,"(120, 120)","(119,)","(119, 96)","(119, 96, 93)","(119, 96, 93, 98)","(119, 96, 93, 98, 165)"
447,Who must approve the rules for appointing officers and servants of a High Court?,The Governor concerned must approve the rules for appointing officers and servants of a High Court.,230,"(120, 120)","(119,)","(119, 93)","(119, 93, 96)","(119, 93, 96, 63)","(119, 93, 96, 63, 108)"
448,Who are the members of the Supreme Judicial Council in Pakistan?,"The members of the Supreme Judicial Council in Pakistan are the Chief Justice of Pakistan, the two next most senior Judges of the Supreme Court, and the two most senior Chief Justices of High Courts.",231,"(120, 121)","(119,)","(119, 93)","(119, 93, 96)","(119, 93, 96, 118)","(119, 93, 96, 118, 98)"
449,What happens if a member of the Supreme Judicial Council is unable to act due to illness?,"If a member of the Supreme Judicial Council is unable to act due to illness, the next most senior Judge of the Supreme Court or the next most senior Chief Justice of another High Court will act as a member of the Council in their place.",231,"(120, 121)","(119,)","(119, 120)","(119, 120, 97)","(119, 120, 97, 93)","(119, 120, 97, 93, 155)"
450,Can a Judge of the Supreme Court or a High Court be removed from office without an inquiry by the Supreme Judicial Council?,"No, a Judge of the Supreme Court or a High Court cannot be removed from office except as provided by the article, which includes an inquiry by the Supreme Judicial Council.",231,"(120, 121)","(120,)","(120, 119)","(120, 119, 118)","(120, 119, 118, 110)","(120, 119, 118, 110, 96)"
451,What authority does the Council have when it comes to making people attend or producing documents?,The Council has the same power as the Supreme Court to issue directions or orders for securing the attendance of any person or the discovery or production of any document.,232,"(121, 122)","(120,)","(120, 38)","(120, 38, 100)","(120, 38, 100, 134)","(120, 38, 100, 134, 79)"
452,How are the Council's directions or orders enforced?,The Council's directions or orders are enforceable as if they had been issued by the Supreme Court.,232,"(121, 122)","(78,)","(78, 120)","(78, 120, 80)","(78, 120, 80, 121)","(78, 120, 80, 121, 79)"
453,Can a court review the removal of a judge by the Council?,"No, the removal of a judge by the Council cannot be questioned in any court.",233,"(122, 122)","(120,)","(120, 121)","(120, 121, 119)","(120, 121, 119, 79)","(120, 121, 119, 79, 77)"
454,"Can other courts handle cases that fall under the jurisdiction of Administrative Courts or Tribunals?
","No, once an Administrative Court or Tribunal is established, no other court can grant an injunction, make any order, or entertain any proceedings related to matters within the jurisdiction of the Administrative Court or Tribunal.",234,"(122, 123)","(121,)","(121, 122)","(121, 122, 112)","(121, 122, 112, 117)","(121, 122, 112, 117, 115)"
455,"What types of matters can Administrative Courts or Tribunals exclusively handle?
","Administrative Courts or Tribunals can exclusively handle matters related to the terms and conditions of persons in the service of Pakistan, claims arising from tortious acts of the Government or its servants, and issues related to enemy property.",234,"(122, 123)","(121,)","(121, 122)","(121, 122, 113)","(121, 122, 113, 116)","(121, 122, 113, 116, 112)"
456,"Can decisions from Administrative Courts or Tribunals be appealed to the Supreme Court?
","Yes, decisions from Administrative Courts or Tribunals can be appealed to the Supreme Court, but only if the Supreme Court grants leave to appeal, being satisfied that the case involves a substantial question of law of public importance.",234,"(122, 123)","(122,)","(122, 121)","(122, 121, 112)","(122, 121, 112, 99)","(122, 121, 112, 99, 114)"
457,When was the proclamation of withdrawal of Martial Law issued?,The proclamation of withdrawal of Martial Law was issued on 30-12-85.,235,"(123, 123)","(163,)","(163, 162)","(163, 162, 161)","(163, 162, 161, 142)","(163, 162, 161, 142, 137)"
458,What was omitted by S.R.O. No. 1278 (1) 85?,The establishment of Military Courts or Tribunals was omitted by S.R.O. No. 1278 (1) 85.,235,"(123, 123)","(122,)","(122, 92)","(122, 92, 66)","(122, 92, 66, 162)","(122, 92, 66, 162, 132)"
459,When was the provision for Special Courts for heinous offences repealed?,"The provision for Special Courts for heinous offences was repealed on 26th July, 1994.",236,"(123, 123)","(122,)","(122, 8)","(122, 8, 112)","(122, 8, 112, 3)","(122, 8, 112, 3, 148)"
460,Who appoints the Chief Election Commissioner in Pakistan?,The Chief Election Commissioner is appointed by the President.,237,"(124, 125)","(123,)","(123, 172)","(123, 172, 124)","(123, 172, 124, 150)","(123, 172, 124, 150, 126)"
461,What are the qualifications required for someone to be appointed as the Chief Election Commissioner?,"The person must have been a Judge of the Supreme Court, a senior civil servant, or a technocrat, and must not be more than sixty-eight years of age.",237,"(124, 125)","(123,)","(123, 150)","(123, 150, 124)","(123, 150, 124, 118)","(123, 150, 124, 118, 172)"
462,How is the Parliamentary Committee for confirming the Chief Election Commissioner formed?,"The Parliamentary Committee is constituted by the Speaker and comprises fifty percent members from the Treasury Benches and fifty percent from the Opposition Parties, based on their strength in the Parliament.",237,"(124, 125)","(123,)","(123, 124)","(123, 124, 36)","(123, 124, 36, 150)","(123, 124, 36, 150, 172)"
463,Who does the Commissioner take an oath before when starting their role?,The Commissioner takes an oath before the Chief Justice of Pakistan.,238,"(125, 125)","(124,)","(124, 20)","(124, 20, 55)","(124, 20, 55, 103)","(124, 20, 55, 103, 52)"
464,Who does a member of the Election Commission take an oath before?,A member of the Election Commission takes an oath before the Commissioner.,238,"(125, 125)","(124,)","(124, 30)","(124, 30, 126)","(124, 30, 126, 128)","(124, 30, 126, 128, 35)"
465,How long is the term for the Commissioner and members?,The Commissioner and members hold office for a term of five years from the day they enter upon their office.,239,"(125, 126)","(125,)","(125, 124)","(125, 124, 127)","(125, 124, 127, 126)","(125, 124, 127, 126, 31)"
466,What happens to the members after the first two and a half years?,"Two of the members shall retire after the expiration of the first two and a half years, and two shall retire after the expiration of the next two and a half years.",239,"(125, 126)","(124,)","(124, 30)","(124, 30, 169)","(124, 30, 169, 31)","(124, 30, 169, 31, 167)"
